session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
jp083n02,spikeUnit06,ddm_cancel,left,right,247,60,0.61,1,11,0.964355069455372,24,9,-0.534698755992039,-8.48230885719942
jp083n02,spikeUnit06,ddm_cancel,left,right,363,60,0.61,1,11,0.676161834896294,23,5,-0.373332793703949,-5.81409602994687
jp083n02,spikeUnit06,ddm_cancel,left,right,363,60,0.55,2,11,0.32002518725277,70,NaN,-0.220444178674639,-9.5020439067489
jp083n02,spikeUnit06,ddm_cancel,left,right,247,60,0.55,2,15,0.546563829966096,23,-14,-0.15356108038713,-7.31886192744451
jp083n02,spikeUnit07,ddm_cancel,left,right,247,60,0.61,1,11,0.0664007322119232,6,-16,-0.368074957988744,-17.5728360816236
jp083n02,spikeUnit07,ddm_cancel,left,right,363,60,0.61,1,11,0.336415845940403,13,-5,-0.415238301827214,-15.3404099947778
jp083n02,spikeUnit07,ddm_cancel,left,right,363,60,0.55,2,11,0.697967910681961,24,-13,-0.290742229667707,-9.68944863984743
jp083n02,spikeUnit07,ddm_cancel,left,right,247,60,0.55,2,15,0.334071797197869,15,-33,-0.51037097479881,-11.1760841779664
jp083n02,spikeUnit08,ddm_cancel,left,right,247,60,0.61,1,11,0.107778191390839,52,NaN,0.24269035020122,-11.9876598228496
jp083n02,spikeUnit08,ddm_cancel,left,right,363,60,0.61,1,11,0.0472957344721767,9,-18,-0.0462572769173544,-12.8622710346151
jp083n02,spikeUnit08,ddm_cancel,left,right,363,60,0.55,2,11,0.523219830262801,33,-27,0.13572841914432,-5.01637591833577
jp083n02,spikeUnit08,ddm_cancel,left,right,247,60,0.55,2,15,0.275845139477966,56,NaN,0.616873463940058,-5.77848695908266
jp083n02,spikeUnit32,ddm_cancel,left,right,247,60,0.61,1,11,0.704189706859,18,4,0.28816134602208,-7.68766355024936
jp083n02,spikeUnit32,ddm_cancel,left,right,363,60,0.61,1,11,0.507401092061419,49,10,0.25582522030763,-11.2815309198877
jp083n02,spikeUnit32,ddm_cancel,left,right,363,60,0.55,2,11,0.325947773384536,85,NaN,0.417012677278767,-6.86813349050426
jp083n02,spikeUnit32,ddm_cancel,left,right,247,60,0.55,2,15,0.855671023993815,86,NaN,0.789275929081659,-7.59746002006684
jp090n02,spikeUnit01,ddm_cancel,left,right,133,81,0.61,1,25,0.00283602068169707,-25,13,-0.237974895782274,-31.3199079462964
jp090n02,spikeUnit01,ddm_cancel,left,right,133,81,0.55,2,32,0.00100982413124483,-7,-2,0.180201603978804,-12.1311574853386
jp090n02,spikeUnit01,ddm_cancel,left,right,248,81,0.61,1,51,0.00949983881097621,-1,2,-0.106478292842175,-28.3302787135223
jp090n02,spikeUnit01,ddm_cancel,left,right,248,81,0.55,2,59,0.0808321003013002,17,-12,-0.107644209189087,-7.92077979986229
jp090n02,spikeUnit12,ddm_cancel,left,right,133,81,0.61,1,25,0.444091191858439,NaN,NaN,-0.141595962114872,-16.6922594657989
