sessionID,unit,ssrt,coherence,ssd,nStop,pValue40ms,cancelTime
jp083n02,spikeUnit05,48,0.61,247,11,0.951675825254273,40
jp083n02,spikeUnit05,48,0.61,363,11,0.14955776920021,-5
jp083n02,spikeUnit05,48,0.55,363,11,0.845535348593332,37
jp083n02,spikeUnit05,48,0.55,247,15,0.884173204052904,41
jp083n02,spikeUnit08,48,0.61,247,11,0.340220150203765,1
jp083n02,spikeUnit08,48,0.61,363,11,0.619660973510167,20
jp083n02,spikeUnit08,48,0.55,363,11,0.0525715082613648,46
jp083n02,spikeUnit08,48,0.55,247,15,0.376497023386161,55
jp083n02,spikeUnit09,48,0.39,131,12,0.426583712876138,140
jp083n02,spikeUnit09,48,0.39,247,12,0.505912880008169,NaN
jp083n02,spikeUnit09,48,0.45,247,15,0.392046131183014,-9
jp083n02,spikeUnit09,48,0.45,131,23,0.108585430473809,11
jp083n02,spikeUnit10,48,0.39,131,12,0.42955411460453,125
jp083n02,spikeUnit10,48,0.39,247,12,0.52566419624868,144
jp083n02,spikeUnit10,48,0.45,247,15,0.512974658669579,16
jp083n02,spikeUnit10,48,0.45,131,23,0.521535591782307,21
jp083n02,spikeUnit11,48,0.39,131,12,0.455338347726561,57
jp083n02,spikeUnit11,48,0.39,247,12,0.841579043797489,NaN
jp083n02,spikeUnit11,48,0.45,247,15,0.389046270653156,15
jp083n02,spikeUnit11,48,0.45,131,23,0.242269006688326,55
jp083n02,spikeUnit13,48,0.39,131,12,0.516638866421756,55
jp083n02,spikeUnit13,48,0.39,247,12,0.879784661352205,NaN
jp083n02,spikeUnit13,48,0.45,247,15,0.527857131068196,1
jp083n02,spikeUnit13,48,0.45,131,23,0.917102935528321,NaN
jp083n02,spikeUnit16,48,0.39,131,12,0.318748427852361,NaN
jp083n02,spikeUnit16,48,0.39,247,12,0.600370941618783,63
jp083n02,spikeUnit16,48,0.45,247,15,0.473983861794803,8
jp083n02,spikeUnit16,48,0.45,131,23,0.0901477923549509,3
jp083n02,spikeUnit17,48,0.61,247,11,0.151456513878956,-22
jp083n02,spikeUnit17,48,0.61,363,11,0.139704938550926,72
jp083n02,spikeUnit17,48,0.55,363,11,0.24584171995911,173
jp083n02,spikeUnit17,48,0.55,247,15,0.865034050219041,106
jp083n02,spikeUnit22,48,0.61,247,11,0.909874314202228,129
jp083n02,spikeUnit22,48,0.61,363,11,0.181114584776724,16
jp083n02,spikeUnit22,48,0.55,363,11,0.948076074325876,53
jp083n02,spikeUnit22,48,0.55,247,15,0.57407108074381,37
jp083n02,spikeUnit23,48,0.61,247,11,0.504682954436892,111
jp083n02,spikeUnit23,48,0.61,363,11,0.465448269168766,34
jp083n02,spikeUnit23,48,0.55,363,11,0.241917417171775,-48
jp083n02,spikeUnit23,48,0.55,247,15,0.898793348716899,85
jp090n02,spikeUnit01,81,0.61,133,25,0.00283602068169707,-25
jp090n02,spikeUnit01,81,0.55,133,32,0.00100982413124483,-7
jp090n02,spikeUnit01,81,0.61,248,51,0.00949983881097621,-1
jp090n02,spikeUnit01,81,0.55,248,59,0.0808321003013002,17
jp090n02,spikeUnit02,81,0.61,133,25,0.0777572769935666,9
jp090n02,spikeUnit02,81,0.55,133,32,0.334567210358213,18
jp090n02,spikeUnit02,81,0.61,248,51,0.704171947533694,55
jp090n02,spikeUnit02,81,0.55,248,59,0.136600502254045,19
jp090n02,spikeUnit03,81,0.61,133,25,0.405393460658269,53
jp090n02,spikeUnit03,81,0.55,133,32,0.413931450202922,25
jp090n02,spikeUnit03,81,0.61,248,51,0.995124691831625,35
jp090n02,spikeUnit03,81,0.55,248,59,0.138297425620356,12
jp090n02,spikeUnit04,81,0.61,133,25,0.0174589242222833,73
jp090n02,spikeUnit04,81,0.55,133,32,0.0208930866032097,-13
jp090n02,spikeUnit04,81,0.61,248,51,0.357101145027078,71
jp090n02,spikeUnit04,81,0.55,248,59,0.730480629871188,50
jp090n02,spikeUnit10,81,0.39,133,26,0.00912719540092313,-20
jp090n02,spikeUnit10,81,0.45,133,52,0.853780200586081,53
jp090n02,spikeUnit10,81,0.45,248,64,0.271154256947975,-21
jp090n02,spikeUnit12,81,0.61,133,25,0.444091191858439,NaN
jp090n02,spikeUnit12,81,0.55,133,32,0.0346427664318032,-3
jp090n02,spikeUnit12,81,0.61,248,51,0.666397209801696,52
jp090n02,spikeUnit12,81,0.55,248,59,0.674923862636248,NaN
jp090n02,spikeUnit14,81,0.61,133,25,0.000841472658975104,-15
jp090n02,spikeUnit14,81,0.55,133,32,0.000490730041729663,-6
jp090n02,spikeUnit14,81,0.61,248,51,0.307060817711076,14
jp090n02,spikeUnit14,81,0.55,248,59,0.253004553177255,9
jp090n02,spikeUnit15,81,0.61,133,25,0.0190328204154856,-12
jp090n02,spikeUnit15,81,0.55,133,32,0.00167809393954684,-20
jp090n02,spikeUnit15,81,0.61,248,51,0.44386568535119,60
jp090n02,spikeUnit15,81,0.55,248,59,0.343834901209424,0
jp090n02,spikeUnit16,81,0.61,133,25,0.00380640870222305,-21
jp090n02,spikeUnit16,81,0.55,133,32,1.93778187301914e-05,-25
jp090n02,spikeUnit16,81,0.61,248,51,0.311445452004169,4
jp090n02,spikeUnit16,81,0.55,248,59,0.00761699091011483,-4
jp090n02,spikeUnit17,81,0.39,133,26,0.0100891622609967,-9
jp090n02,spikeUnit17,81,0.45,133,52,0.946570248495304,21
jp090n02,spikeUnit17,81,0.45,248,64,0.886720605610903,NaN
jp090n02,spikeUnit20,81,0.61,133,25,0.0180649624432028,-7
jp090n02,spikeUnit20,81,0.55,133,32,0.826074858106063,76
jp090n02,spikeUnit20,81,0.61,248,51,0.927450537555598,52
jp090n02,spikeUnit20,81,0.55,248,59,0.423990452429569,22
jp090n02,spikeUnit21,81,0.39,133,26,0.538743342683361,45
jp090n02,spikeUnit21,81,0.45,133,52,0.649365478403962,43
jp090n02,spikeUnit21,81,0.45,248,64,0.869013985949898,-81
jp090n02,spikeUnit22,81,0.39,133,26,0.289281317271769,35
jp090n02,spikeUnit22,81,0.45,133,52,0.972861844202766,54
jp090n02,spikeUnit22,81,0.45,248,64,0.0649862577935323,-59
jp090n02,spikeUnit25,81,0.61,133,25,3.56536562513982e-05,-30
jp090n02,spikeUnit25,81,0.55,133,32,3.56756505079909e-05,-7
jp090n02,spikeUnit25,81,0.61,248,51,0.00481431700949894,-4
jp090n02,spikeUnit25,81,0.55,248,59,0.000594142650652882,-11
jp090n02,spikeUnit26,81,0.61,133,25,4.91121688030032e-05,-21
jp090n02,spikeUnit26,81,0.55,133,32,3.48651149291051e-06,-27
jp090n02,spikeUnit26,81,0.61,248,51,0.0354453776448774,-9
jp090n02,spikeUnit26,81,0.55,248,59,0.00755462629955629,-4
jp090n02,spikeUnit27,81,0.61,133,25,0.144128300968779,5
jp090n02,spikeUnit27,81,0.55,133,32,0.00732906335218219,-13
jp090n02,spikeUnit27,81,0.61,248,51,0.526772028939897,28
jp090n02,spikeUnit27,81,0.55,248,59,0.0194864737512036,3
jp090n02,spikeUnit28,81,0.61,133,25,0.057141935965423,52
jp090n02,spikeUnit28,81,0.55,133,32,0.000906584846502284,-4
jp090n02,spikeUnit28,81,0.61,248,51,0.505058490558844,62
jp090n02,spikeUnit28,81,0.55,248,59,0.491256953783938,109
jp090n02,spikeUnit29,81,0.61,133,25,1.10596596382853e-05,-19
jp090n02,spikeUnit29,81,0.55,133,32,0.00243634025167328,-4
jp090n02,spikeUnit29,81,0.61,248,51,0.0630694826937494,-18
jp090n02,spikeUnit29,81,0.55,248,59,0.463887647912569,7
jp090n02,spikeUnit30,81,0.61,133,25,0.027485444966695,-4
jp090n02,spikeUnit30,81,0.55,133,32,0.0010582917147208,-9
jp090n02,spikeUnit30,81,0.61,248,51,0.968539460147015,26
jp090n02,spikeUnit30,81,0.55,248,59,0.777916489929467,41
jp090n02,spikeUnit31,81,0.61,133,25,0.000858290224029862,-33
jp090n02,spikeUnit31,81,0.55,133,32,0.0117792519921961,0
jp090n02,spikeUnit31,81,0.61,248,51,0.143781153688095,-22
jp090n02,spikeUnit31,81,0.55,248,59,0.0039326956892205,-5
jp090n02,spikeUnit32,81,0.61,133,25,0.307315902576035,7
jp090n02,spikeUnit32,81,0.55,133,32,0.377625847456201,NaN
jp090n02,spikeUnit32,81,0.61,248,51,0.132899995183344,-15
jp090n02,spikeUnit32,81,0.55,248,59,0.600371303525312,NaN
jp106n02,spikeUnit05,96,0.6,243,18,0.00194029038073883,-18
jp106n02,spikeUnit05,96,0.55,243,22,0.00536409362667948,7
jp106n02,spikeUnit05,96,0.6,100,26,0.0504067087696056,0
jp106n02,spikeUnit05,96,0.55,100,27,0.178084142327103,10
jp106n02,spikeUnit05,96,0.55,386,29,0.0129537681804362,-26
jp106n02,spikeUnit14,96,0.6,243,18,0.0500529774900642,-17
jp106n02,spikeUnit14,96,0.55,243,22,0.0379578683978433,-41
jp106n02,spikeUnit14,96,0.6,100,26,0.0139713388998583,-11
jp106n02,spikeUnit14,96,0.55,100,27,0.000303054427406213,-15
jp106n02,spikeUnit14,96,0.55,386,29,0.0119694336350693,-96
jp106n02,spikeUnit15,96,0.6,243,18,0.363168044483495,1
jp106n02,spikeUnit15,96,0.55,243,22,0.559078290596088,38
jp106n02,spikeUnit15,96,0.6,100,26,0.659672339751912,NaN
jp106n02,spikeUnit15,96,0.55,100,27,0.343325968898678,1
jp106n02,spikeUnit15,96,0.55,386,29,0.397135055015163,NaN
jp106n02,spikeUnit17,96,0.6,243,18,0.946599344543786,35
jp106n02,spikeUnit17,96,0.55,243,22,0.30930108803613,7
jp106n02,spikeUnit17,96,0.6,100,26,0.123810443424524,-2
jp106n02,spikeUnit17,96,0.55,100,27,0.798049211593316,27
jp106n02,spikeUnit17,96,0.55,386,29,0.0148784411361112,-61
jp106n02,spikeUnit18,96,0.6,243,18,1.71832874584794e-06,-19
jp106n02,spikeUnit18,96,0.55,243,22,1.19173215040766e-06,-40
jp106n02,spikeUnit18,96,0.6,100,26,6.56288156458505e-05,-5
jp106n02,spikeUnit18,96,0.55,100,27,0.00668232103912842,-8
jp106n02,spikeUnit18,96,0.55,386,29,7.10259586618063e-09,-62
jp106n02,spikeUnit19,96,0.6,243,18,0.00096669708833459,-96
jp106n02,spikeUnit19,96,0.55,243,22,0.000495630730989921,-82
jp106n02,spikeUnit19,96,0.6,100,26,0.000575784251148039,-31
jp106n02,spikeUnit19,96,0.55,100,27,0.0195473823206086,-96
jp106n02,spikeUnit19,96,0.55,386,29,0.0154631802573146,-55
jp106n02,spikeUnit22,96,0.6,243,18,0.450789783253646,30
jp106n02,spikeUnit22,96,0.55,243,22,0.025686804076497,-1
jp106n02,spikeUnit22,96,0.6,100,26,0.0797388333381734,7
jp106n02,spikeUnit22,96,0.55,100,27,0.674312500358618,51
jp106n02,spikeUnit22,96,0.55,386,29,0.00256535295342415,-39
jp106n02,spikeUnit23,96,0.6,243,18,0.00705189269157124,3
jp106n02,spikeUnit23,96,0.55,243,22,0.0492648650517272,1
jp106n02,spikeUnit23,96,0.6,100,26,0.102420448677245,14
